date,open,high,low,close,volume,Name
2008-12-01,6.87,6.91,6.04,6.14,885700,HSU
2008-12-02,6.42,6.53,6.07,6.53,778600,HSU
2008-12-03,6.45,6.9,6.18,6.84,718300,HSU
2008-12-04,6.7,6.95,6.25,6.43,513600,HSU
2008-12-05,6.25,6.96,6.02,6.96,694700,HSU
2008-12-08,7.69,7.69,7.2,7.38,972000,HSU
2008-12-09,7.24,7.54,7.01,7.11,627200,HSU
2008-12-10,7.35,7.39,7.02,7.3,556900,HSU
2008-12-11,7.21,7.35,6.78,6.85,735700,HSU
2008-12-12,6.37,7.04,6.37,6.95,995600,HSU
2008-12-15,7.05,7.05,6.6,6.83,394500,HSU
2008-12-16,7.1,7.44,6.62,7.39,673600,HSU
2008-12-17,7.35,7.35,7.21,7.21,11300,HSU
2008-12-18,7.37,7.42,6.85,6.88,507400,HSU
2008-12-19,7,7.29,6.94,7.03,358200,HSU
2008-12-22,7.07,7.07,6.62,6.72,331600,HSU
2008-12-23,6.9,6.94,6.63,6.69,193700,HSU
2008-12-24,6.74,6.8,6.64,6.69,138200,HSU
2008-12-29,6.82,6.84,6.55,6.8,308600,HSU
2008-12-30,6.73,7.12,6.73,7.1,177800,HSU
2008-12-31,7.1,7.37,7.06,7.24,302600,HSU
2009-01-02,7.38,7.8,7.17,7.7,337600,HSU
2009-01-05,7.58,7.84,7.55,7.7,351100,HSU
2009-01-06,7.93,7.98,7.67,7.78,414200,HSU
2009-01-07,7.6,7.6,7.2,7.35,711800,HSU
2009-01-08,7.25,7.41,7.2,7.36,221500,HSU
2009-01-09,7.4,7.45,7.05,7.07,393200,HSU
2009-01-12,6.89,7.02,6.66,6.76,367700,HSU
2009-01-13,6.7,6.85,6.64,6.78,254200,HSU
2009-01-14,6.6,6.6,6.21,6.35,744600,HSU
2009-01-15,6.34,6.48,5.92,6.33,864000,HSU
2009-01-16,6.83,6.83,6.15,6.45,880700,HSU
2009-01-19,6.45,6.52,6.29,6.5,129200,HSU
2009-01-20,6.35,6.36,5.71,5.76,1096900,HSU
2009-01-21,6.05,6.25,5.6,6.23,534600,HSU
2009-01-22,6,6.22,5.81,6.02,438000,HSU
2009-01-23,5.78,6.2,5.72,6.09,427900,HSU
2009-01-26,6.15,6.39,6.03,6.16,543200,HSU
2009-01-27,6.27,6.36,6.15,6.3,282800,HSU
2009-01-28,6.5,6.77,6.5,6.68,423100,HSU
2009-01-29,6.47,6.56,6.25,6.26,408100,HSU
2009-01-30,6.35,6.37,5.92,5.99,518400,HSU
2009-02-02,5.77,6.07,5.77,6,315400,HSU
2009-02-03,6.03,6.23,5.92,6.14,237200,HSU
2009-02-04,6.2,6.38,6.05,6.08,349700,HSU
2009-02-05,6.08,6.38,5.9,6.28,605800,HSU
2009-02-06,6.26,6.67,6.26,6.6,624800,HSU
2009-02-09,6.72,6.73,6.52,6.63,362400,HSU
2009-02-10,6.64,6.64,5.92,6.01,1490300,HSU
2009-02-11,6.12,6.14,5.93,6.07,582100,HSU
2009-02-12,5.85,6.11,5.7,6.1,744000,HSU
2009-02-13,6.09,6.16,5.95,5.97,499900,HSU
2009-02-17,5.7,5.7,5.41,5.44,1135300,HSU
2009-02-18,5.53,5.53,5.29,5.42,695600,HSU
2009-02-19,5.54,5.54,5.27,5.3,678000,HSU
2009-02-20,5.21,5.3,4.96,5.18,858600,HSU
2009-02-23,5.4,5.4,4.8,4.81,887200,HSU
2009-02-24,4.82,5.25,4.82,5.2,841800,HSU
2009-02-25,5.14,5.28,4.92,5.1,1135400,HSU
2009-02-26,5.25,5.77,4.92,4.94,1314500,HSU
2009-02-27,4.73,4.92,4.69,4.71,960500,HSU
2009-03-02,4.5,4.58,4.25,4.29,1274400,HSU
2009-03-03,4.4,4.4,4.14,4.21,1001200,HSU
2009-03-04,4.58,4.58,4.25,4.4,1001500,HSU
2009-03-05,4.22,4.29,3.97,4.05,1604100,HSU
2009-03-06,4.05,4.22,3.82,4.02,1251700,HSU
2009-03-09,3.9,4.16,3.9,3.93,1033800,HSU
2009-03-10,4.14,4.44,4.09,4.42,1417400,HSU
2009-03-11,4.58,4.6,4.36,4.45,1073900,HSU
2009-03-12,4.45,4.86,4.38,4.8,1389200,HSU
2009-03-13,4.89,4.94,4.71,4.9,1023800,HSU
2009-03-16,5.06,5.14,4.85,4.86,951400,HSU
2009-03-17,4.87,5.17,4.81,5.16,764600,HSU
2009-03-18,5.18,5.5,5.01,5.37,1238200,HSU
2009-03-19,5.49,5.52,5.21,5.23,1132100,HSU
2009-03-20,5.29,5.32,5,5.04,953700,HSU
2009-03-23,5.35,5.75,5.26,5.75,1228400,HSU
2009-03-24,5.59,5.76,5.5,5.52,803100,HSU
2009-03-25,5.55,5.8,5.3,5.62,1249600,HSU
2009-03-26,5.79,5.89,5.63,5.87,1214400,HSU
2009-03-27,5.72,5.77,5.59,5.63,1595100,HSU
2009-03-30,5.24,5.38,5.13,5.24,1552800,HSU
2009-03-31,5.37,5.56,5.28,5.35,863800,HSU
2009-04-01,5.22,5.6,5.18,5.54,1150700,HSU
2009-04-02,5.98,6.02,5.76,5.86,1298700,HSU
2009-04-03,5.86,5.97,5.76,5.96,758800,HSU
2009-04-06,5.85,5.9,5.7,5.87,380700,HSU
2009-04-07,5.74,5.74,5.59,5.59,970400,HSU
2009-04-08,5.61,5.78,5.6,5.73,509400,HSU
2009-04-09,6.04,6.17,5.98,6.17,859500,HSU
2009-04-13,6.07,6.29,6.01,6.21,914300,HSU
2009-04-14,6.08,6.18,5.94,5.95,534300,HSU
2009-04-15,5.92,6.11,5.87,6.11,251600,HSU
2009-04-16,6.2,6.37,6.04,6.28,673300,HSU
2009-04-17,6.34,6.43,6.24,6.35,461000,HSU
2009-04-20,6.14,6.14,5.81,5.81,437800,HSU
2009-04-21,5.63,6.04,5.63,6.03,245700,HSU
2009-04-22,5.84,6.21,5.84,5.95,420600,HSU
2009-04-23,5.97,6.08,5.83,6.07,279900,HSU
2009-04-24,6.16,6.33,6.12,6.25,205300,HSU
2009-04-27,6.01,6.3,6.01,6.16,203400,HSU
2009-04-28,6,6.24,6,6.12,113600,HSU
2009-04-29,6.22,6.49,6.21,6.38,681800,HSU
2009-04-30,6.55,6.59,6.29,6.34,631200,HSU
2009-05-01,6.38,6.48,6.26,6.42,345700,HSU
2009-05-04,6.55,6.85,6.51,6.85,396000,HSU
2009-05-05,6.83,6.87,6.72,6.79,282000,HSU
2009-05-06,6.97,7.05,6.82,7.05,346600,HSU
2009-05-07,7.19,7.2,6.77,6.84,454700,HSU
2009-05-08,7.01,7.19,6.94,7.15,295600,HSU
2009-05-11,7,7.05,6.87,6.87,196300,HSU
2009-05-12,6.94,6.98,6.69,6.84,296400,HSU
2009-05-13,6.64,6.7,6.48,6.5,391900,HSU
2009-05-14,6.38,6.69,6.38,6.6,160300,HSU
2009-05-15,6.61,6.67,6.43,6.49,135600,HSU
2009-05-19,6.55,6.95,6.55,6.82,1577000,HSU
2009-05-20,6.81,7.07,6.74,6.75,701200,HSU
2009-05-21,6.57,6.63,6.42,6.56,341500,HSU
